origin,year,citation_num,works_cited_num,lat,long
"图书馆理论与实践,",2007,136,134,39.987260,116.323013
"图书馆理论与实践,",2007,108,108,23.131768,113.371557
"图书馆理论与实践,",1998,279,275,30.537860,114.365248
"图书馆论坛,",2014,119,117,25.058090,102.696063
"图书馆论坛,",2012,135,133,31.050397,121.205047
"图书馆论坛,",2010,120,120,28.174717,112.944870
"图书馆论坛,",2009,158,158,31.230452,121.390923
"图书馆论坛,",2007,102,102,22.545808,114.056671
"图书馆论坛,",2006,106,106,30.536660,114.375096
"图书馆论坛,",2006,103,103,39.104131,117.169077
"图书馆论坛,",2007,102,102,22.545808,114.056671
"图书馆论坛,",2006,106,106,30.536660,114.375096
"图书馆论坛,",2006,103,103,39.104131,117.169077
"图书馆论坛,",2005,144,142,30.536482,114.374888
"图书馆论坛,",2005,119,118,23.129162,113.264434
"图书馆论坛,",2005,166,165,40.004874,116.324691
"图书馆论坛,",2005,115,111,22.545714,114.057271
"图书馆论坛,",2004,102,101,30.536748,114.375043
"图书馆论坛,",2004,146,146,30.536482,114.374888
"图书馆论坛,",2004,122,120,23.186189,113.334250
"图书馆论坛,",2004,104,103,23.129162,113.264434
"图书馆论坛,",2004,106,106,23.129162,113.264434
"图书馆论坛,",2003,120,118,30.536660,114.375096
"图书馆论坛,",2002,174,171,33.635594,114.682609
"图书馆论坛,",2002,116,116,31.206910,121.445183
"图书馆论坛,",2002,100,100,23.129162,113.264434
"图书馆论坛,",2002,106,104,23.129162,113.264434
"图书馆论坛,",2002,218,218,31.206910,121.445183
"图书馆论坛,",2002,116,116,36.986923,120.716082
"图书馆论坛,",2002,140,140,23.360203,116.718875
"图书馆论坛,",2001,124,124,22.534875,113.921946
"图书馆论坛,",2000,129,126,23.410291,116.635530
"大学图书馆学报,",2012,202,196,31.316600,121.392325
"大学图书馆学报,",2012,102,101,30.536482,114.374888
"大学图书馆学报,",2012,121,121,32.034985,118.843030
"大学图书馆学报,",2013,100,100,39.987255,116.322990
"大学图书馆学报,",2014,198,198,30.262746,120.120629
"大学图书馆学报,",2014,118,117,22.530892,113.391838
"大学图书馆学报,",2000,142,142,31.971333,118.812833
"大学图书馆学报,",2000,357,357,39.989872,116.314598
"大学图书馆学报,",2000,227,226,32.110012,118.961365
"大学图书馆学报,",2000,163,163,40.814387,111.690358
"大学图书馆学报,",2001,149,145,30.535956,114.362712
"大学图书馆学报,",2001,109,109,30.537860,114.365248
"大学图书馆学报,",2001,131,131,39.989872,116.314598
"大学图书馆学报,",2001,257,255,22.530892,113.391838
"大学图书馆学报,",2001,172,170,39.989872,116.314598
"大学图书馆学报,",2002,111,111,39.995304,116.308264
"大学图书馆学报,",2002,269,268,37.997395,114.518196
"大学图书馆学报,",2002,117,117,39.960342,116.341596
"大学图书馆学报,",2002,119,119,39.961006,116.368514
"大学图书馆学报,",2002,133,133,,
"大学图书馆学报,",2002,305,305,39.989872,116.314598
"大学图书馆学报,",2002,116,115,31.226649,121.408669
"大学图书馆学报,",2002,173,173,39.987259,116.323009
"大学图书馆学报,",2003,136,133,31.025495,121.436962
"大学图书馆学报,",2003,301,298,22.530892,113.391838
"大学图书馆学报,",2003,133,133,39.987259,116.323009
"大学图书馆学报,",2003,114,113,39.102994,117.165766
"大学图书馆学报,",2004,126,126,39.995304,116.308264
"大学图书馆学报,",2004,113,113,30.262746,120.120629
"大学图书馆学报,",2004,162,162,40.004874,116.324691
"大学图书馆学报,",2004,120,120,39.871480,116.472830
"大学图书馆学报,",2004,117,116,40.004874,116.324691
"大学图书馆学报,",2005,133,131,39.102994,117.165766
"大学图书馆学报,",2005,118,118,,
"大学图书馆学报,",2005,183,183,30.262746,120.120629
"大学图书馆学报,",2005,166,163,39.995304,116.308264
"大学图书馆学报,",2006,100,100,31.025495,121.436962
"大学图书馆学报,",2005,164,161,22.530892,113.391838
"大学图书馆学报,",2006,646,643,31.227938,121.404680
"大学图书馆学报,",2006,124,122,38.859159,117.466556
"大学图书馆学报,",2006,126,123,40.004874,116.324691
"大学图书馆学报,",2006,107,107,22.530941,113.391546
"大学图书馆学报,",2006,142,141,39.983905,116.348747
"大学图书馆学报,",2006,274,265,31.316600,121.392325
"大学图书馆学报,",2006,131,131,39.937707,116.307886
"大学图书馆学报,",2006,101,100,40.004874,116.324691
"大学图书馆学报,",2007,124,122,31.316600,121.392325
"大学图书馆学报,",2007,112,108,30.292956,120.164517
"大学图书馆学报,",2008,205,203,32.042554,118.795471
"大学图书馆学报,",2008,104,103,40.004874,116.324691
"大学图书馆学报,",2008,150,148,31.316600,121.392325
"大学图书馆学报,",2008,109,109,32.054482,118.793579
"大学图书馆学报,",2009,205,202,32.031135,118.842265
"大学图书馆学报,",2009,244,244,31.206910,121.445183
"大学图书馆学报,",2009,346,343,,
"大学图书馆学报,",2009,371,371,31.230452,121.390923
"大学图书馆学报,",2010,108,106,39.971121,116.378600
"大学图书馆学报,",2010,101,101,34.747075,113.589098
"大学图书馆学报,",2010,104,103,32.034985,118.843030
"大学图书馆学报,",2011,191,184,31.206910,121.445183
"大学图书馆学报,",2010,108,106,39.971121,116.378600
"大学图书馆学报,",2010,101,101,34.747075,113.589098
"大学图书馆学报,",2010,104,103,32.034985,118.843030
"大学图书馆学报,",2011,191,184,31.206910,121.445183
"大学图书馆学报,",1999,113,113,39.989872,116.314598
"大学图书馆学报,",1998,127,126,41.908506,123.409541
"大学图书馆学报,",1999,170,170,32.054482,118.793579
"情报学报,",2000,148,148,,
"情报学报,",2000,136,129,31.025495,121.436962
"情报学报,",2000,279,279,32.110012,118.961365
"情报学报,",2000,100,100,32.055015,118.779430
"情报学报,",2001,108,108,39.990348,116.359323
"情报学报,",2001,130,130,31.025363,121.431213
"情报学报,",2001,125,124,30.303810,120.088568
