origin,year,citation_num,works_cited_num,lat,long
"情报理论与实践,",2012,4,4,34.797820,113.655479
"情报理论与实践,",2012,20,20,,
"情报理论与实践,",2012,20,20,30.536482,114.374888
"情报理论与实践,",2012,5,5,32.116192,118.956380
"情报理论与实践,",2012,36,34,39.987568,116.346769
"情报理论与实践,",2012,3,3,36.060961,114.380170
"情报理论与实践,",2012,1,1,32.106316,118.918699
"情报理论与实践,",2012,8,8,45.776638,126.681632
"情报理论与实践,",2012,3,3,,
"情报理论与实践,",2012,5,5,,
"情报理论与实践,",2012,4,4,30.514620,114.360757
"情报理论与实践,",2012,4,2,31.302245,120.641182
"情报理论与实践,",2012,4,4,,
"情报理论与实践,",2012,11,10,32.035597,118.783147
"情报理论与实践,",2012,32,32,31.831289,117.144299
"情报理论与实践,",2012,14,11,45.744064,126.628701
"情报理论与实践,",2012,9,9,28.288438,109.724860
"情报理论与实践,",2012,6,5,31.877167,118.821049
"情报理论与实践,",2012,2,2,32.193750,119.528875
"情报理论与实践,",2012,1,1,38.015499,112.448334
"情报理论与实践,",2012,7,6,37.797943,112.589538
"情报理论与实践,",2012,2,2,34.241903,108.981362
"情报理论与实践,",2012,7,7,39.849597,116.278477
"情报理论与实践,",2012,10,10,39.959693,116.321567
"情报理论与实践,",2012,53,52,23.203826,113.293368
"情报理论与实践,",2012,6,6,24.314028,109.405861
"情报理论与实践,",2012,8,8,30.536482,114.374888
"情报理论与实践,",2012,3,3,30.536482,114.374888
"情报理论与实践,",2012,1,1,39.945930,116.300770
"情报理论与实践,",2012,9,8,,
"情报理论与实践,",2012,3,2,39.105036,117.157116
"情报理论与实践,",2012,12,12,28.177377,112.945074
"情报理论与实践,",2012,5,2,39.957401,116.322262
"情报理论与实践,",2012,10,10,34.123128,108.830240
"情报理论与实践,",2012,1,0,31.288109,121.556857
"情报理论与实践,",2012,7,6,31.302245,120.641182
"情报理论与实践,",2012,1,1,30.536660,114.375096
"情报理论与实践,",2012,8,4,30.632171,104.086731
"情报理论与实践,",2012,15,15,38.015537,114.457549
"情报理论与实践,",2012,5,5,31.974041,120.908580
"情报理论与实践,",2012,1,1,31.382441,120.970130
"情报理论与实践,",2012,13,11,31.877741,117.251656
"情报理论与实践,",2012,4,4,34.720551,113.637549
"情报理论与实践,",2012,7,5,34.862647,113.654690
"情报理论与实践,",2012,5,5,39.872643,116.447594
"情报理论与实践,",2012,1,1,37.797943,112.589538
"情报理论与实践,",2012,2,2,39.903038,116.272551
"情报理论与实践,",2012,4,4,32.116192,118.956380
"情报理论与实践,",2012,13,13,39.959910,116.368690
"情报理论与实践,",2012,10,10,31.945217,118.846697
"情报理论与实践,",2012,14,14,28.759635,115.834611
"情报理论与实践,",2012,2,2,29.826702,106.427956
"情报理论与实践,",2012,12,12,31.315883,121.392456
"情报理论与实践,",2012,10,10,23.050447,113.378227
"情报理论与实践,",2012,2,2,32.081566,118.772455
"情报理论与实践,",2012,6,6,28.681750,115.937000
"情报理论与实践,",2012,24,24,39.060551,117.124698
"情报理论与实践,",2012,3,2,21.268912,110.348158
"情报理论与实践,",2012,2,1,30.630723,104.073090
"情报理论与实践,",2012,1,1,31.767250,117.184869
"情报理论与实践,",2012,5,3,43.854536,125.335170
"情报理论与实践,",2012,1,1,39.988010,116.311798
"情报理论与实践,",2012,3,3,32.116192,118.956380
"情报理论与实践,",2012,13,12,31.941058,118.797881
"情报理论与实践,",2012,17,15,27.791961,114.357073
"情报理论与实践,",2012,1,1,37.797943,112.589538
"情报理论与实践,",2012,1,1,30.621923,114.370020
"情报理论与实践,",2012,15,15,33.983799,116.811015
"情报理论与实践,",2012,14,14,39.982777,116.319649
"情报理论与实践,",2012,5,5,32.116192,118.956380
"情报理论与实践,",2012,5,5,39.872643,116.447594
"情报理论与实践,",2012,10,6,,
"情报理论与实践,",2012,5,5,28.734217,115.836141
"情报理论与实践,",2012,36,36,30.514182,114.158983
"情报理论与实践,",2012,10,10,30.536660,114.375096
"情报理论与实践,",2012,6,6,24.841623,102.852236
"情报理论与实践,",2012,6,6,30.536482,114.374888
"情报理论与实践,",2012,25,25,22.530892,113.391838
"情报理论与实践,",2012,3,3,30.536660,114.375096
"情报理论与实践,",2012,5,5,30.536660,114.375096
"情报理论与实践,",2012,7,7,28.696500,116.030375
"情报理论与实践,",2012,2,2,34.123128,108.830240
"情报理论与实践,",2012,18,18,38.489750,106.137000
"情报理论与实践,",2012,12,12,43.854536,125.335170
"情报理论与实践,",2012,10,10,,
"情报理论与实践,",2012,7,7,36.057524,114.371723
"情报理论与实践,",2012,1,0,27.887454,112.860881
"情报理论与实践,",2012,44,42,25.065020,110.300760
"情报理论与实践,",2012,7,4,27.883319,112.862378
"情报理论与实践,",2012,1,0,30.487103,114.391670
"情报理论与实践,",2012,5,3,24.326977,116.127319
"情报理论与实践,",2012,9,9,34.797820,113.655479
"情报理论与实践,",2012,3,2,28.685510,115.904057
"情报理论与实践,",2012,12,12,22.530892,113.391838
"情报理论与实践,",2012,3,3,43.854536,125.335170
"情报理论与实践,",2012,24,24,22.530892,113.391838
"情报理论与实践,",2012,17,16,39.904694,119.537987
"情报理论与实践,",2012,8,6,37.797943,112.589538
"情报理论与实践,",2012,7,6,35.442594,119.538938
"情报理论与实践,",2012,10,10,30.282408,120.139284
"情报理论与实践,",2012,3,3,,
"情报理论与实践,",2012,7,6,31.162488,121.421182
"情报理论与实践,",2012,3,3,,
"情报理论与实践,",2012,4,4,23.045389,114.419441
"情报理论与实践,",2012,11,11,28.696500,116.030375
"情报理论与实践,",2012,3,3,38.862712,117.451442
"情报理论与实践,",2012,2,2,29.811634,106.416023
"情报理论与实践,",2012,4,3,32.039644,118.751979
"情报理论与实践,",2012,13,13,22.530892,113.391838
"情报理论与实践,",2012,10,6,26.061712,119.200084
"情报理论与实践,",2012,4,4,,
"情报理论与实践,",2012,1,1,31.235057,121.472659
"情报理论与实践,",2012,10,9,36.051490,103.859038
"情报理论与实践,",2012,4,3,22.530892,113.391838
"情报理论与实践,",2012,1,0,28.121150,113.024775
"情报理论与实践,",2012,1,1,34.596611,119.184227
"情报理论与实践,",2012,3,3,24.584260,118.099198
"情报理论与实践,",2012,11,9,34.797820,113.655479
"情报理论与实践,",2012,1,1,37.797943,112.589538
"情报理论与实践,",2012,2,2,30.536660,114.375096
"情报理论与实践,",2012,8,8,23.092592,113.353991
"情报理论与实践,",2012,6,5,,
"情报理论与实践,",2012,4,4,29.907044,121.640316
"情报理论与实践,",2012,4,4,36.051490,103.859038
"情报理论与实践,",2012,47,46,34.605534,119.221550
"情报理论与实践,",2012,29,23,,
"情报理论与实践,",2012,22,16,,
"情报理论与实践,",2012,18,13,43.834886,125.322861
"情报理论与实践,",2012,12,11,31.767250,117.184869
"情报理论与实践,",2012,40,40,22.537685,114.026222
"情报理论与实践,",2012,6,6,,
"情报理论与实践,",2012,2,2,39.999567,116.331994
"情报理论与实践,",2012,22,22,,
"情报理论与实践,",2012,10,10,,
"情报理论与实践,",2012,9,8,34.596611,119.184227
"情报理论与实践,",2012,15,15,34.217064,108.943249
"情报理论与实践,",2012,46,46,39.871480,116.472830
"情报理论与实践,",2012,4,4,32.075293,118.644543
"情报理论与实践,",2012,13,13,39.971603,116.421062
"情报理论与实践,",2012,7,7,23.164465,113.342270
"情报理论与实践,",2012,1,1,37.797943,112.589538
"情报理论与实践,",2012,14,14,30.536660,114.375096
"情报理论与实践,",2012,12,12,34.797820,113.655479
"情报理论与实践,",2012,5,5,31.302245,120.641182
"情报理论与实践,",2012,10,10,31.288109,121.556857
"情报理论与实践,",2012,3,3,39.988010,116.311798
"情报理论与实践,",2012,7,7,,
"情报理论与实践,",2012,3,3,39.972237,116.315956
"情报理论与实践,",2012,16,11,43.854536,125.335170
"情报理论与实践,",2012,4,4,30.483429,114.307144
"情报理论与实践,",2012,13,13,23.158456,113.512763
"情报理论与实践,",2012,12,11,43.854536,125.335170
"情报理论与实践,",2012,16,16,25.058090,102.696063
"情报理论与实践,",2012,4,4,25.065020,110.300760
"情报理论与实践,",2012,10,10,,
"情报理论与实践,",2012,33,31,43.828097,125.298959
"情报理论与实践,",2012,5,5,32.116192,118.956380
"情报理论与实践,",2012,5,5,34.123128,108.830240
"情报理论与实践,",2012,2,1,37.797943,112.589538
"情报理论与实践,",2012,9,9,34.717369,113.644458
"情报理论与实践,",2012,10,10,22.527977,113.393975
"情报理论与实践,",2012,17,17,31.767250,117.184869
"情报理论与实践,",2012,23,23,34.818223,113.540037
"情报理论与实践,",2012,17,17,30.536660,114.375096
